Nombre|Ronda|Explicación|Máximo jugadores|Acción
Café recién hecho|Mañana|Don Gonzalo Sétodo ha preparado café para el desayuno y pregunta a todos los detectives que quién quiere. Todo el mundo tira un dado. Se animan a pedirle que les sirva y solo ese día obtienen la energía suficiente como para investigar 2 habitaciones en lugar de solo una al mediodía $RESULTADOS_UNO$. Los demás no tienen ganas de tomar café y casi les da nauseas la idea, e investigan como siempre.|Todos|EF1
Guante blanco|Mediodía|Habéis decidido que ha llegado el momento de dar un pequeño pero sucio empujón a vuestra investigación. Después de todo, nadie gana el juego jugando limpiamente. Abrís una pequeña bolsa de plástico que lleváis en vuestro equipaje y dentro hay un par de elegantes guantes blancos. Todos tiran el dado. Deciden ponerse los guantes y obtienen un comodín que les permitirá robar 2 cartas en lugar de una al utilizar un Brandy $RESULTADOS_DOS$. Quien no, se arrepiente y confía en sus propias capacidades; descartando la idea, se va a la cama con la conciencia tranquila.|Todos|CO1
Rebajas turbias|Mediodía|Ves que tu investigación no avanza y por eso hoy, mientras todo el mundo se retira a sus habitaciones, te das prisa en terminar tus cosas y haces rápidamente unas llamadas por teléfono mientras Gonzalo Sétodo casualmente no te ve. Todos tiran el dado. Obtienen un comodín con el que podrán contratar dos sicarios por el precio de uno $RESULTADOS_TRES$. Los demás, no veis con buenos ojos la idea de querer resolver un crimen cometiendo otro, al menos por ahora, y colgáis el teléfono antes siquiera de marcar.|Todos|CO2
Agotamiento mental|Mañana|Está claro que has juzgado demasiado rápido la dificultad de este caso. Casi no puedes con la idea de que este pueda ser el primer caso que no llegues a resolver. E igualmente, el asesino puede tener dinero de sobra para contratar abogados que le saquen del apuro y de nada habrá servido tu esfuerzo. Todos tiran el dado. Se quedan deprimidos en su habitación y no juegan en todo ese día $RESULTADOS_TRES$. Los demás tienen una visión más positiva sobre el caso y tienen un día normal y corriente.|Todos|EF4
¡Ha sido ese… creo!|Noche|Esa persona que te cae mal está aquí. No te la has podido quitar de la cabeza desde que llegaste a esta casa y viste que también había sido contratada para investigar el caso. La tienes frente a ti y la miras con secreto rencor. Investiga mejor que tú y es probable que sepa quién es el asesino antes que tú. Todos tiran el dado. Obtienen un comodín para llamar a la policía haciendo una acusación falsa anónima contra otro jugador a su elección, el cual perderá todo el día siguiente en comisaría, $RESULTADOS_UNO$. Los demás tienen un día normal y corriente, salvo aquellos que acaben detrás de los barrotes junto a algún delincuente.|Todos|CO3
Brujería y esoterismo|Noche|Te sorprende la cantidad objetos extravagantes que puedes encontrar en el gabinete esotérico de Adelaida. Máscaras, muñecos de paja que podrían ser usados para hacer vudú, y símbolos metálicos con toda clase de formas, en especial con forma de ojo. Rebuscas en un cajón con curiosidad a ver si encuentras algo. Todos tiran el dado. Encuentran una caja de incienso protector, obteniendo así un comodín que se activará automáticamente para protegerte de una visita de Adelaida, $RESULTADOS_DOS$.|Todos|CO4
De postre, pastel|Mediodía|Para el almuerzo de hoy, don Gonzalo Sétodo ha decidido preparar un pastel. Su sabor, tan dulce y exquisito hace que tengáis una charla muy animada durante el postre, durante el cual todos reís, habláis de investigaciones anteriores y compartís experiencias pasadas. Os deja tan de buen humor que ese día nadie quiere llevar a cabo ningún acto de mala fe durante la tarde. Esta tarde no habrá ronda de asuntos turbios… a menos que algún resentido quiera intentar aguarles la fiesta a todos lanzando algún comentario mordaz que enturbie el ambiente. Aquellos jugadores que quieran que esa tarde sí haya ronda de asuntos turbios, pueden intentar tirar el dado y sacar un $NUMERO$ para que así sea.|Nadie|EF6
¡Zzz!|Noche|Desde el primer momento habéis sabido que no todo iba a ser armonía y paz entre vosotros. Alguno tiene la ignominiosa reputación de resolver casos... con medios cuestionables y se sentiría bastante frustrado de no ser él quien resolviese también este caso. Ese alguien tiene una sorpresa para todos los demás. Todos tiran el dado. Tiene escondido un potente somnífero que administrará en los vasitos de agua de las mesillas de noche de los demás detectives, obteniendo así un comodín que le permitirá jugar el día siguiente él solo, $RESULTADOS_UNO_JUGADORES_UNO$. Los demás vuelven a sus camas con miedo a saber que tal vez no despierten al día siguiente.|1|CO5
A quien madruga…|Mañana|A noche te dormiste más rápido de lo habitual, por lo que ese día despiertas temprano y de mejor humor. Te levantas para desayunar antes que nadie, y mientras vas hacia el comedor, ves a todo el mundo aún vistiéndose en su habitaciones y planificando su día. Miras de reojo más de lo que se puede considerar «reojo» y acabas viendo más de lo que pensabas. Todos tiran el dado. Este día tiene la oportunidad de escoger habitación después de que los demás hayan revelado sus habitaciones $RESULTADOS_UNO_JUGADORES_UNO$.|1|EF7
Clarividencia|Mañana|Esa mañana Gonzalo Sétodo se encontraba limpiando el gabinete esotérico de doña Adelaida y ha salido un momento dejando la habitación abierta. Ves la bola de cristal y por tu cabeza se pasa la idea de usar la adivinación para resolver el misterio. La miras fijamente durante unos momentos esperando a que mágicamente aparezca algo en ella, pero te das cuenta de que no va a suceder nada. Sin embargo, cuando te quedas obnubilado y no le estás prestando atención, crees ver algo en la bola. Tienen derecho a preguntar por la ubicación de una serie de pistas $RESULTADOS_DOS_JUGADORES_DOS$.|2|EF8
Caja fuerte|Mediodía|Miras con recelo a todo el mundo en la mesa durante el almuerzo. Sabes que te va a tocar a ti en algún momento y quieres proteger tu investigación de los demás. Por temor a ser robado, pides a Gonzalo Sétodo que te deje guardar en la caja fuerte del salón tus pistas y pertenencias. Todos tiran el dado. Esa tarde nadie podrá realizar un asunto turbio contra $RESULTADOS_DOS_JUGADORES_DOS$.|2|EF9
